ImageName	Component	Script	Text
img0001.png	Text	Latin	"The"
img0002.png	Text	Latin	"Sops"
img0003.png	Text	Latin	"Officers"
img0004.png	Text	Latin	"Merit"
img0005.png	Text	Latin	"kills"
img0006.png	Text	Latin	"can't"
img0007.png	Text	Latin	"wait"
img0008.png	Text	Latin	"decide"
img0009.png	Text	Latin	"CBI"
img0010.png	Text	Latin	"chief"
img0011.png	Text	Latin	"HOME"
img0012.png	Text	Latin	"WOMEN"
img0013.png	Text	Latin	"RESPECT"
img0014.png	Text	Latin	"Millstone"
img0015.png	Text	Latin	"TRACKS"
img0016.png	Text	Latin	"PwC"
img0017.png	Text	Latin	"IAS"
img0018.png	Text	Latin	"officer"
img0019.png	Text	Latin	"quits"
img0020.png	Text	Latin	"citing"
img0021.png	Text	Latin	"intolerance"
img0022.png	Text	Latin	"quota"
img0023.png	Text	Latin	"tag"
img0024.png	Text	Latin	"on"
img0025.png	Text	Latin	"muddled"
img0026.png	Text	Latin	"of"
img0027.png	Text	Latin	"executive"
img0028.png	Text	Latin	"ahead"
img0029.png	Text	Latin	"budget"
img0030.png	Text	Latin	"LOUD"
img0031.png	Text	Latin	"SBI"
img0032.png	Text	Latin	"FOREIGN"
img0033.png	Text	Latin	"Trump"
img0034.png	Text	Latin	"address"
img0035.png	Text	Latin	"escalates"
img0036.png	Text	Latin	"battle"
img0037.png	Text	Latin	"over"
img0038.png	Text	Latin	"1995"
img0039.png	Text	Latin	"border"
img0040.png	Text	Latin	"wall"
img0041.png	Text	Latin	"President"
img0042.png	Text	Latin	"fear"
img0043.png	Text	Latin	"cop"
img0044.png	Text	Latin	"a"
img0045.png	Text	Latin	"PETER"
img0046.png	Text	Latin	"BAKER"
img0047.png	Text	Latin	"Aussie"
img0048.png	Text	Latin	"PM"
img0049.png	Text	Latin	"Victim"
img0050.png	Text	Latin	"red"
img0051.png	Text	Latin	"NAKSHATRA"
img0052.png	Text	Latin	"faced"
img0053.png	Text	Latin	"after"
img0054.png	Text	Latin	"shoe"
img0055.png	Text	Latin	"gaffe"
img0056.png	Text	Latin	"Taliban"
img0057.png	Text	Latin	"talks"
